commonName,latinName,imgSrc,date,groupType
Painted Lady,Vanessa cardui,IMG_0330.jpg,7/16/2005,Brush-footed
Mourning Cloak,Nymphalis antiopa,IMG_0507.jpg,9/24/2013,Brush-footed
Common Buckeye,Junonia coenia,IMG_0878.jpg,9/18/2012,Brush-footed
Question Mark,Polygonia interrogationis,IMG_0902.jpg,9/19/2012,Brush-footed
Little Wood-Satyr,Megisto cymela,IMG_1458.jpg,5/30/2015,Brush-footed
Monarch,Danaus plexippus,IMG_1881.jpg,7/12/2008,Brush-footed
Appalachian Brown,Lethe appalachia,IMG_2007.jpg,7/12/2008,Brush-footed
Pearl Crescent,Phyciodes tharos,IMG_2036.jpg,7/12/2008,Brush-footed
Eastern Comma,Polygonia comma,IMG_2235.jpg,11/10/2012,Brush-footed
Little Wood-Satyr,Megisto cymela,IMG_2818.jpg,6/27/2015,Brush-footed
Viceroy,Limenitis archippus,IMG_3201.jpg,7/18/2015,Brush-footed
Great Spangled Fritillary,Speyeria cybele,IMG_3333.jpg,7/19/2015,Brush-footed
Viceroy,Limenitis archippus,IMG_3488.jpg,7/19/2015,Brush-footed
American Lady,Vanessa virginiensis,IMG_3677.jpg,7/11/2009,Brush-footed
American Lady,Vanessa virginiensis,IMG_3683.jpg,7/11/2009,Brush-footed
Great Spangled Fritillary,Speyeria cybele,IMG_4079.jpg,8/29/2015,Brush-footed
Silver-bordered Fritillary,Boloria selene,IMG_4212.jpg,8/29/2015,Brush-footed
Silver-bordered Fritillary,Boloria selene,IMG_4218.jpg,8/29/2015,Brush-footed
Northern Pearly Eye,Lethe anthedon,IMG_4376.jpg,7/23/2016,Brush-footed
Baltimore Checkerspot,Euphydryas phaeton,IMG_4697.jpg,6/13/2014,Brush-footed
Red Admiral,Vanessa atalanta,IMG_6213.jpg,8/9/2014,Brush-footed
Mourning Cloak,Nymphalis antiopa,IMG_6615.jpg,3/22/2012,Brush-footed
Common Ringlet,Coenonympha tullia,IMG_7026.jpg,8/27/2014,Brush-footed
Common Wood-Nymph,Cercyonis pegala,IMG_7582.jpg,7/10/2010,Brush-footed
Question Mark,Polygonia interrogationis,IMG_7615.jpg,7/10/2010,Brush-footed
Common Ringlet,Coenonympha tullia,IMG_7808.jpg,6/12/2013,Brush-footed
